id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response
1,performance,32,handle,prior,0.33,music,chrome,1533,769,1600,900,FALSE,reasoning,thank you for the hit and have a great day!,43,f,english,285.416,28.946,3,both
1,performance,32,both,prior,0.33,music,chrome,1533,769,1600,900,FALSE,reasoning,thank you for the hit and have a great day!,43,f,english,285.416,28.946,3,both
1,performance,33,button,prior,0.34,music,chrome,1533,769,1600,900,FALSE,reasoning,thank you for the hit and have a great day!,43,f,english,285.416,28.946,3,both
2,presentation,33,both,prior,0.173,music,chrome,1299,600,1366,768,FALSE,game theory,,33,m,english,148.62,13.826,3,both
2,presentation,79,handle,prior,0.414,music,chrome,1299,600,1366,768,FALSE,game theory,,33,m,english,148.62,13.826,3,both
2,presentation,79,button,prior,0.414,music,chrome,1299,600,1366,768,FALSE,game theory,,33,m,english,148.62,13.826,3,both
3,nogoal,29,button,prior,0.199,music,chrome,1219,797,1440,900,FALSE,to see if people prefer buttons over handles.,nothing broken,31,f,english,125.926,12.017,3,handle
3,nogoal,75,handle,prior,0.514,music,chrome,1219,797,1440,900,FALSE,to see if people prefer buttons over handles.,nothing broken,31,f,english,125.926,12.017,3,handle
3,nogoal,42,both,prior,0.288,music,chrome,1219,797,1440,900,FALSE,to see if people prefer buttons over handles.,nothing broken,31,f,english,125.926,12.017,3,handle
4,presentation,66,handle,prior,0.283,light,chrome,1239,883,1680,1050,FALSE,i have no idea!,no,45,f,english,175.685,17.719,3,both
4,presentation,67,button,prior,0.288,light,chrome,1239,883,1680,1050,FALSE,i have no idea!,no,45,f,english,175.685,17.719,3,both
4,presentation,100,both,prior,0.429,light,chrome,1239,883,1680,1050,FALSE,i have no idea!,no,45,f,english,175.685,17.719,3,both
5,presentation,65,button,prior,0.406,light,chrome,1259,600,1440,900,FALSE,deductive reasoning,no,30,m,english,180.537,18.028,3,both
5,presentation,66,handle,prior,0.412,light,chrome,1259,600,1440,900,FALSE,deductive reasoning,no,30,m,english,180.537,18.028,3,both
5,presentation,29,both,prior,0.181,light,chrome,1259,600,1440,900,FALSE,deductive reasoning,no,30,m,english,180.537,18.028,3,both
6,presentation,99,handle,prior,0.469,music,chrome,1619,797,2560,1440,FALSE,how does a toy work without a label,it worked great,28,f,english,215.106,35.688,3,both
6,presentation,100,button,prior,0.474,music,chrome,1619,797,2560,1440,FALSE,how does a toy work without a label,it worked great,28,f,english,215.106,35.688,3,both
6,presentation,12,both,prior,0.057,music,chrome,1619,797,2560,1440,FALSE,how does a toy work without a label,it worked great,28,f,english,215.106,35.688,3,both
7,nogoal,30,button,prior,0.333,music,chrome,1974,993,1366,768,FALSE,i have no clue.  it seemed really really easy.,that music was unexpected and so cute! i loved it. ,30,f,english,191.269,36.219,3,button
7,nogoal,30,handle,prior,0.333,music,chrome,1974,993,1366,768,FALSE,i have no clue.  it seemed really really easy.,that music was unexpected and so cute! i loved it. ,30,f,english,191.269,36.219,3,button
7,nogoal,30,both,prior,0.333,music,chrome,1974,993,1366,768,FALSE,i have no clue.  it seemed really really easy.,that music was unexpected and so cute! i loved it. ,30,f,english,191.269,36.219,3,button
8,learning,47,handle,prior,0.343,light,chrome,1299,600,1366,768,FALSE,to determine my opinions on how a toy works,,28,f,english,502.027,142.896,3,handle
8,learning,38,button,prior,0.277,light,chrome,1299,600,1366,768,FALSE,to determine my opinions on how a toy works,,28,f,english,502.027,142.896,3,handle
8,learning,52,both,prior,0.38,light,chrome,1299,600,1366,768,FALSE,to determine my opinions on how a toy works,,28,f,english,502.027,142.896,3,handle
9,performance,100,button,prior,0.5,light,chrome,1657,600,1536,864,FALSE,"i have no earthly idea.  i mean, it's probably not to recruit engineers. if i really had to guess, i'd say it's so researchers can laugh at how stupid peons on this platform are.  the mockery is well-deserved. i'd electrocute myself with my toy.",my light and music came on! woohoo!,40,m,english,269.775,21.332,3,both
9,performance,99,handle,prior,0.495,light,chrome,1657,600,1536,864,FALSE,"i have no earthly idea.  i mean, it's probably not to recruit engineers. if i really had to guess, i'd say it's so researchers can laugh at how stupid peons on this platform are.  the mockery is well-deserved. i'd electrocute myself with my toy.",my light and music came on! woohoo!,40,m,english,269.775,21.332,3,both
